text,label
Biden's willing to go to war with Russia over Ukraine's borders while ours is wide open,MISINFORMED_OR_POTENTIALLY_MISLEADING
You can’t join the military with a neck tattoo but you can work inside our nations capitol??? 🤔🤔🤔,MISINFORMED_OR_POTENTIALLY_MISLEADING
"20,000+ Deaths Reported to VAERS Following COVID Vaccines • Children's Health Defense  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Biden Finally Admits ‘There is No Federal Solution’ in the Government’s War on Covid #NoPlanJoe,MISINFORMED_OR_POTENTIALLY_MISLEADING
"After auditing several counties across many states, we discovered that Joe Biden used COVID to steal the election.

He must face a Military tribunal.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Video of   today that the Jan 6th mass trespassing event violently cracked down by police was a “violent terrorist attack on the capitol.”

The game is over, folks.

Go home and get a life.

You are wasting your time with the GOP.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"YouTube bans Dan Bongino, but everyone who pushed Russia Collusion, which was a lie, still has their channels!",MISINFORMED_OR_POTENTIALLY_MISLEADING
"If we’re “at war” with COVID, then withholding life saving medicine from Americans is akin to a war crime. 

Who is responsible? How high up does this decision go? People should be in prison for killing Americans.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"If DC wants to go to war with Russia, why are they kicking our best fighters out of the military for refusing a vaccine that doesn't even protect them from infection?",MISINFORMED_OR_POTENTIALLY_MISLEADING
"“These schools that are force-masking kids, after all this data, after all the evidence is in— it's almost like Japanese soldiers in the 1950s, thinking that the war is still going on. Stop force-masking kids.”   today 🔥  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Ukraine and Ukrainian government officials are the aggressor in the Russia-Ukraine relationship.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"False statements from the Putin regime blame the victim, Ukraine, for Russia’s aggression.  Russia invaded Ukraine in 2014, occupies Crimea, controls armed forces in the Donbas, and has now amassed more than 100,000 troops on the border with Ukraine while President Putin threatens “retaliatory military-technical” measures if his demands are not met.",NOT_MISLEADING
The West is pushing Ukraine toward a conflict.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Moscow instigated the current crisis by placing more than 100,000 troops on the border of Ukraine, with no similar military activity on the Ukrainian side of the border.",NOT_MISLEADING
Russian military and intelligence entities are targeting Ukraine with disinformation attempting to paint Ukraine and Ukrainian government officials as the aggressor in the Russia-Ukraine relationship. The Russian government is trying to trick the world into believing Ukraine’s behavior could provoke a global conflict and to convince Russian citizens of the need for Russian military action in Ukraine.,NOT_MISLEADING
"Russia blames others for its own aggression, but it is Moscow’s responsibility to end this crisis peacefully through de-escalation and diplomacy. Moscow invaded Ukraine in 2014, occupies Crimea, and continues to fuel conflict in eastern Ukraine.",NOT_MISLEADING
"This follows a pattern of Russian behavior of undermining the sovereignty and territorial integrity of countries in the region – invading and occupying parts of Georgia in 2008, and failing to honor its 1999 commitment to withdraw its troops and munitions from Moldova, where they remain without the government’s consent.",NOT_MISLEADING
Russia’s deployment of combat forces is a mere repositioning of troops on its own territory.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Deploying more than 100,000 Russian troops, including battle-hardened combat forces and offensive weaponry with no plausible innocuous explanation, to the borders of a country that Russia has previously invaded and still occupies in places is no mere troop rotation.",NOT_MISLEADING
"It is a clear, renewed Russian threat to Ukraine’s sovereignty and territorial integrity. The buildup is paired with active disinformation measures designed to undermine confidence in the Ukrainian government and create a pretext for further Russian incursion.",NOT_MISLEADING
The United States has planned chemical weapons attacks in the Donbas.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"The United States and Russia are parties to the Chemical Weapons Convention.  In accordance with its obligations under that international agreement, the United States does not use chemical weapons. However, the Russian government has twice used chemical weapons in recent years to attack and attempt to assassinate opponents, including on foreign soil. Rather than fuel conflict in eastern Ukraine as Russia has done, the United States has provided more than $351 million in humanitarian assistance to those affected by Moscow’s aggression there since 2014. Russia is using statements from high-level officials as well as disinformation and propaganda outlets to intentionally spread outright falsehoods to attempt to create a pretext for military action.",NOT_MISLEADING
Russia is defending ethnic Russians in Ukraine.,MISINFORMED_OR_POTENTIALLY_MISLEADING
There are no credible reports of any ethnic Russians or Russian speakers being under threat from the Ukrainian government.,NOT_MISLEADING
"NATO has plotted against Russia since the end of the Cold War, encircled Russia with forces, broken supposed promises not to enlarge, and threatened Russia’s security with the prospect of Ukrainian membership in the Alliance",MISINFORMED_OR_POTENTIALLY_MISLEADING
"NATO is a defensive alliance, whose purpose is to protect its member states.",NOT_MISLEADING
"NATO does not encircle Russia – Russia’s land border is just over 20,000 kilometers long.",NOT_MISLEADING
"In response to Russia’s use of military force against its neighbors, NATO deployed four multinational battlegroups to the Baltic States and Poland in 2016. These forces are rotational, defensive, proportionate, and requested by the host nations. Before Russia’s illegal seizure of Crimea, there were no plans to deploy Allied troops to the eastern part of the Alliance.",NOT_MISLEADING
NATO never promised not to admit new members. NATO enlargement is not directed against Russia.,NOT_MISLEADING
The West shuns diplomacy and goes straight to measures like sanctions.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"The United States and our partners are engaging in intensive diplomacy to resolve this crisis, including directly with the Russian government",NOT_MISLEADING
"What remains to be seen is whether Russia is willing to meet its responsibilities as a member of the global community and take steps to de-escalate the crisis it has generated. But we have also made clear, publicly and privately, that we and our partners will impose swift and severe economic costs on the Russian economy should President Putin choose to further invade Ukraine.",NOT_MISLEADING
Russian military vehicles crossing from Belarus into Ukraine at the Senkovka crossing point in the Chernihiv region,NOT_MISLEADING
"Russian military vehicles crossing a bridge near Tavriysk and Novaya Kakhovka in the southern Kherson region, and Russian military helicopters flying over the area",NOT_MISLEADING
Security camera footage showing Russian military vehicles crossing from Crimea into government-held territory at Armyansk checkpoint,NOT_MISLEADING
"NATO member states Poland, Estonia, Latvia and Lithuania have triggered NATO Article 4 to launch consultations within the alliance over Russia's attack on Ukraine.",NOT_MISLEADING
Russian Ka-52 helicopter gunship in field near Kyiv after purportedly being forced to land.,NOT_MISLEADING
"Russia-backed separatists on armored vehicles crossing a river in footage from the eastern Luhansk region, saying they seized territory from Ukrainian forces.",NOT_MISLEADING
Russian military says it destroyed 83 Ukrainian military facilities and confirmed that its forces have moved into Ukraine from Crimea.,NOT_MISLEADING
"Russian forces seized the Chernobyl nuclear plant, site of the world’s worst nuclear accident",NOT_MISLEADING
"U.S. stands ready to evacuate Zelensky, Russia’s ‘target No. 1’",NOT_MISLEADING
Russian President Vladimir Putin announced a military operation in Ukraine early Thursday,NOT_MISLEADING
United States President Joe Biden has instructed Secretary of State Antony Blinken to release up to $350 million in immediate support to Ukraine's security and defense,NOT_MISLEADING
Ukrainian military says a Russian tank destroyed in western Kyiv,NOT_MISLEADING
Explosions are happening in the Ukrainian capital Kyiv,NOT_MISLEADING
Ukraine says it is ready to talk about a ceasefire and peace,NOT_MISLEADING
Biden administration announces sanctions against more Russian officials,NOT_MISLEADING
Ukrainian President confirms Russian forces are advancing on Kyiv from the north and east,NOT_MISLEADING
Canadian prime minister announces sanctions on Vladimir Putin,NOT_MISLEADING
White House confirms US will sanction Putin and Lavrov,NOT_MISLEADING
Russia plans to threaten to kill Ukrainians who don't surrender,NOT_MISLEADING
Poland bans Russia airlines from its airspace,NOT_MISLEADING
Biden authorizes up to $600 million in assistance to Ukraine,NOT_MISLEADING
Street fighting underway in Kyiv,NOT_MISLEADING
"More than 100,000 displaced because of Russia's attack on Ukraine",NOT_MISLEADING
Ukrainian ambassador accuses Russia of war crimes,NOT_MISLEADING
Russian offensive unexpectedly slowed by stiff Ukrainian resistance,NOT_MISLEADING
White House will directly sanction Putin,NOT_MISLEADING
Russia-Ukraine conflict was started by Russia,NOT_MISLEADING
"I will start with the fact that modern Ukraine was entirely created by Russia or, to be more precise, by Bolshevik, Communist Russia.",MISINFORMED_OR_POTENTIALLY_MISLEADING
Soviet Ukraine is the result of the Bolsheviks’ policy and can be rightfully called ‘Vladimir Lenin’s Ukraine,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Ukrainian culture and language have existed for centuries and a Ukrainian nationalist movement sprang up in the mid-1800s, angering the czars. While parts of what is now Ukraine was part of the Russian empire, the rest of the state was, at various times, under the control of Poland, Lithuania and Austria-Hungary.",NOT_MISLEADING
"Radical nationalists took advantage of the justified public discontent and saddled the Maidan protest, escalating it to a coup d’etat in 2014. They also had direct assistance from foreign states. According to reports, the U.S. Embassy provided $1 million a day to support the so-called protest camp on Independence Square in Kyiv.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"The United States directly controls the National Agency on Corruption Prevention, the National Anti-Corruption Bureau, the Specialized Anti-Corruption Prosecutor’s Office and the High Anti-Corruption Court.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"As we know, it has already been stated today that Ukraine intends to create its own nuclear weapons, and this is not just bragging.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"the government of Ukraine is run by neo-Nazis waging a genocidal campaign against ethnic Russians in the country’s east, where Moscow-backed authorities regularly uncover mass graves full of the corpses of women and children with bound hands and bludgeoned heads even as they face the hell of constant shelling.",MISINFORMED_OR_POTENTIALLY_MISLEADING
government in Kyiv so cruel that Moscow has no choice but to swoop in and protect the ethnic Russians in eastern Ukraine’s Donbas region.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"It’s a war between the Ukrainian government and its own people. ... People are dying there every day. Thousands of civilians died there. Thousands of children lost their limbs there, buried in little coffins",MISINFORMED_OR_POTENTIALLY_MISLEADING
West is bringing in guerrillas to kill locals,MISINFORMED_OR_POTENTIALLY_MISLEADING
"the U.S. and Ukraine are developing biological or chemical weapons,",MISINFORMED_OR_POTENTIALLY_MISLEADING
unmarked graves of civilians killed by Ukrainian armed forces in the east,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Ukrainian forces had violated a cease-fire in Donbas and shelled a kindergarten in Stanytsia Luhanska, a settlement near the front line",MISINFORMED_OR_POTENTIALLY_MISLEADING
"The Ukrainian Defense Ministry said the attack was one of 29 cease-fire violations by the separatists, with the kindergarten and its environs struck by 32 artillery shells.",NOT_MISLEADING
"This month, the Security Service of Ukraine announced that it had uncovered and shut down a pair of so-called bot farms controlling 18,000 accounts that were sowing panic on social media and sending out bomb threats. The security service said in a statement that preliminary investigations indicated they had been set up by Russian parties.",NOT_MISLEADING
Fake videos of those nonexistent attacks became part of a domestic Russian propaganda campaign,NOT_MISLEADING
"Ukrainian forces in Donbas, a city in the southeastern part of the country that harbors a large number of pro-Russian separatists, were planning violent attacks, engaging in antagonistic shelling, and committing genocide",MISINFORMED_OR_POTENTIALLY_MISLEADING